1,196,649938,,1,0,0,0
1,196,649986,,0,0,0,0
1,196,649940,,0,0,1,8
1,196,649948,,0,0,0,8
1,196,650004,,1,0,0,8
1,196,649992,,0,0,0,8
1,196,649980,,0,0,0,8
1,196,649985,,1,0,0,8
1,196,649953,,1,0,0,8
1,196,650016,,0,0,0,8
1,196,649950,,0,0,0,8
1,196,650041,,0,0,0,8
1,196,650033,,0,0,0,8
1,196,650019,,0,0,0,8
1,196,650079,,0,0,0,8
1,196,650058,,0,0,1,8
1,196,650084,,0,0,0,8
1,196,650073,,0,0,0,8
1,196,650078,,0,0,1,8
1,196,650106,,0,0,0,8
1,196,650122,,0,1,0,8
1,196,650129,,0,0,0,8
1,196,650120,,0,0,0,8
1,196,650141,,0,0,0,8
1,196,650135,,0,1,0,8
1,196,650161,,0,0,0,8
1,196,650152,,0,0,0,8
1,196,650159,,0,0,0,8
1,196,650149,,0,0,0,8
1,196,650209,,1,0,0,8
1,196,650227,,0,0,0,8
1,196,650231,,0,0,0,8
1,196,650236,,0,0,0,8
1,196,650306,,0,0,0,8
